Folder,File,tcoffee,tcoffeeSP,tcoffeeTC,clustalw,clustalwSP,clustalwTC,muscle,muscleSP,muscleTC
RV50, BB50001.msf, tcoffee, 0.779, 0.350, clustalw, 0.624, 0.240, muscle, 0.762, 0.410
RV50, BB50002.msf, tcoffee, 0.398, 0.000, clustalw, 0.237, 0.000, muscle, 0.270, 0.000
RV50, BB50003.msf, tcoffee, 0.641, 0.380, clustalw, 0.441, 0.020, muscle, 0.607, 0.300
RV50, BB50004.msf, tcoffee, 0.962, 0.880, clustalw, 0.945, 0.810, muscle, 0.949, 0.840
RV50, BB50005.msf, tcoffee, 0.953, 0.810, clustalw, 0.934, 0.760, muscle, 0.931, 0.750
RV50, BB50006.msf, tcoffee, 0.694, 0.200, clustalw, 0.540, 0.000, muscle, 0.614, 0.130
RV50, BB50007.msf, tcoffee, 0.652, 0.040, clustalw, 0.606, 0.070, muscle, 0.631, 0.020
RV50, BB50008.msf, tcoffee, 0.883, 0.670, clustalw, 0.807, 0.550, muscle, 0.842, 0.620
RV50, BB50009.msf, tcoffee, 0.767, 0.250, clustalw, 0.687, 0.000, muscle, 0.693, 0.000
RV50, BB50010.msf, tcoffee, 0.776, 0.270, clustalw, 0.483, 0.000, muscle, 0.529, 0.000
RV50, BB50011.msf, tcoffee, 0.683, 0.250, clustalw, 0.548, 0.180, muscle, 0.622, 0.100
RV50, BB50012.msf, tcoffee, 0.757, 0.260, clustalw, 0.632, 0.000, muscle, 0.722, 0.140
RV50, BB50013.msf, tcoffee, 0.910, 0.660, clustalw, 0.908, 0.660, muscle, 0.889, 0.600
RV50, BB50014.msf, tcoffee, 0.878, 0.610, clustalw, 0.816, 0.500, muscle, 0.816, 0.500
RV50, BB50015.msf, tcoffee, 0.676, 0.160, clustalw, 0.462, 0.000, muscle, 0.619, 0.100
RV50, BB50016.msf, tcoffee, 0.837, 0.450, clustalw, 0.535, 0.000, muscle, 0.738, 0.360
RV50, BBS50001.msf, tcoffee, 0.775, 0.360, clustalw, 0.627, 0.220, muscle, 0.768, 0.380
RV50, BBS50002.msf, tcoffee, 0.557, 0.230, clustalw, 0.326, 0.160, muscle, 0.459, 0.000
RV50, BBS50003.msf, tcoffee, 0.950, 0.770, clustalw, 0.801, 0.380, muscle, 0.872, 0.590
RV50, BBS50005.msf, tcoffee, 0.952, 0.810, clustalw, 0.921, 0.730, muscle, 0.928, 0.720
RV50, BBS50006.msf, tcoffee, 0.752, 0.250, clustalw, 0.600, 0.150, muscle, 0.692, 0.160
RV50, BBS50007.msf, tcoffee, 0.676, 0.080, clustalw, 0.609, 0.010, muscle, 0.610, 0.080
RV50, BBS50008.msf, tcoffee, 0.857, 0.700, clustalw, 0.846, 0.660, muscle, 0.846, 0.550
RV50, BBS50009.msf, tcoffee, 0.861, 0.290, clustalw, 0.778, 0.000, muscle, 0.812, 0.100
RV50, BBS50010.msf, tcoffee, 0.828, 0.380, clustalw, 0.704, 0.170, muscle, 0.793, 0.380
RV50, BBS50011.msf, tcoffee, 0.722, 0.300, clustalw, 0.631, 0.260, muscle, 0.710, 0.290
RV50, BBS50012.msf, tcoffee, 0.809, 0.320, clustalw, 0.704, 0.130, muscle, 0.757, 0.180
RV50, BBS50013.msf, tcoffee, 0.924, 0.710, clustalw, 0.918, 0.700, muscle, 0.909, 0.670
RV50, BBS50014.msf, tcoffee, 0.891, 0.650, clustalw, 0.829, 0.530, muscle, 0.834, 0.550
RV50, BBS50015.msf, tcoffee, 0.715, 0.180, clustalw, 0.568, 0.160, muscle, 0.680, 0.110
RV50, BBS50016.msf, tcoffee, 0.857, 0.490, clustalw, 0.699, 0.190, muscle, 0.781, 0.430
